1782864000000,100000.00,100100.00,99900.00,100050.00,10.00,1782864059999,1000500.00,120,5.00,500250.00,0
1782864060000,100050.00,100200.00,100020.00,100150.00,11.00,1782864119999,1101650.00,125,5.20,520780.00,0
1782864120000,100150.00,100350.00,100100.00,100300.00,12.00,1782864179999,1203600.00,135,5.40,541620.00,0
1782864180000,100300.00,100600.00,100250.00,100550.00,13.00,1782864239999,1307150.00,150,5.80,583190.00,0
1782864240000,100550.00,101100.00,100500.00,101000.00,15.00,1782864299999,1515000.00,180,6.10,616100.00,0
1782864300000,101000.00,101700.00,100950.00,101650.00,16.00,1782864359999,1626400.00,210,6.50,660725.00,0
1782864360000,101650.00,102100.00,101600.00,101900.00,14.00,1782864419999,1426600.00,190,5.90,601210.00,0
1782864420000,101900.00,102050.00,101500.00,101700.00,13.00,1782864479999,1322100.00,160,5.30,539010.00,0
1782864480000,101700.00,101950.00,101650.00,101900.00,12.00,1782864539999,1222800.00,155,5.00,509500.00,0
1782864540000,101900.00,102400.00,101850.00,102300.00,15.00,1782864599999,1534500.00,175,6.20,634260.00,0

